item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
0:1,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:11,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:13,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:15,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:17,,ok,neutral,,ok,neutral,,ok,neutral,,,,,,,,ok,neutral,,ok,neutral,,ok,neutral,,ok,neutral,
0:19,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:21,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:23,,,,,,,,,,,,,,,,,,,,,,,,,,ok,sustain,
0:25,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:27,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:29,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:3,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:31,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:33,,ok,change,,ok,change,,ok,change,,error,,,ok,change,,ok,change,,ok,change,,ok,change,,ok,neutral,
0:35,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:37,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:39,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:41,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
0:43,,ok,change,,ok,change,,ok,change,,,,,,,,ok,change,,ok,neutral,,ok,change,,ok,neutral,
0:45,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:47,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:49,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:5,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:51,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:53,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
0:7,,ok,neutral,,ok,neutral,,ok,neutral,,,,,,,,ok,neutral,,ok,neutral,,ok,neutral,,ok,neutral,
0:9,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:1,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:100,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:102,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:104,,ok,neutral,,ok,change,,ok,change,,,,,,,,ok,neutral,,ok,neutral,,ok,neutral,,ok,neutral,
100:106,,ok,change,,ok,change,,ok,change,,,,,,,,ok,change,,ok,change,,ok,change,,ok,change,
100:108,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:11,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:110,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:112,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:114,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:116,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:118,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:120,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:122,,ok,neutral,,ok,neutral,,ok,neutral,,,,,,,,ok,neutral,,ok,neutral,,ok,neutral,,ok,neutral,
100:124,,ok,neutral,,ok,neutral,,ok,neutral,,,,,,,,ok,neutral,,ok,neutral,,ok,neutral,,ok,neutral,
100:126,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:128,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:13,,,,,,,,,,,,,,,,,,,,,,,,,,ok,change,
100:130,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:132,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:134,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:136,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:138,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:140,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:142,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:144,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:146,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:148,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:15,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:150,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:152,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
100:154,,,,,,,,,,,,,,,,,,,,,,,,,,ok,neutral,
