item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:10,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
0:12,,ok,therapist_input,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
0:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
0:16,,ok,other,,ok,other,,ok,therapist_input,,,,,,,,,,,ok,other,,ok,reflection,,ok,other,,ok,reflection,
0:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
0:22,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
0:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
0:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
0:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:36,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
0:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
0:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
0:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
0:6,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,,,,,,,ok,therapist_input,,ok,reflection,,ok,reflection,,ok,reflection,
0:8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:10,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,reflection,,ok,other,,ok,reflection,,ok,other,
100:101,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:105,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:107,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:111,,ok,therapist_input,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,therapist_input,
