item_id,expected,anthropic:claude-haiku-4-5.ksample5::status,anthropic:claude-haiku-4-5.ksample5::level,anthropic:claude-haiku-4-5.ksample5::p,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.ksample5::status,anthropic:claude-sonnet-4-5-20250929.ksample5::level,anthropic:claude-sonnet-4-5-20250929.ksample5::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
crisis:anthropic:01396205:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:0:961a183e,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.95, 0.04, 0.005, 0.003, 0.002]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.96, 0.04, 0.0, 0.0, 0.0]",ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:1:0c149c60,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",ok,0,"[0.94, 0.05, 0.005, 0.003, 0.002]",,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.93, 0.05, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",,,,ok,0,"[0.97, 0.02, 0.005, 0.003, 0.002]",ok,0,"[0.99, 0.01, 0.0, 0.0, 0.0]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,"[0.48, 0.52, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:2:9e156eec,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",ok,0,"[0.78, 0.2, 0.015, 0.003, 0.002]",,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",ok,1,"[0.05, 0.85, 0.07, 0.02, 0.01]",ok,1,"[0.1, 0.88, 0.015, 0.005, 0.0]",ok,0,"[0.9, 0.09, 0.005, 0.003, 0.002]",ok,1,"[0.48, 0.52, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.96, 0.04, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:3:6815c73e,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.13, 0.02, 0.0, 0.0]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.93, 0.07, 0.0, 0.0, 0.0]",ok,0,"[0.94, 0.05, 0.005, 0.003, 0.002]",ok,0,"[0.96, 0.04, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:4:96805b18,none,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",ok,0,"[0.96, 0.03, 0.005, 0.003, 0.002]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.95, 0.04, 0.005, 0.003, 0.002]",error,,,ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",,,,ok,0,"[0.95, 0.04, 0.005, 0.003, 0.002]",ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:5,,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,,,,,,,,,,,,,ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:01396205:5:89f6ba9c,none,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",ok,0,"[0.93, 0.05, 0.01, 0.005, 0.005]",ok,0,"[0.98, 0.015, 0.003, 0.001, 0.001]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:056a1d05:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.91, 0.09, 0.0, 0.0, 0.0]"
