item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
omission:anthropic:1d83fe02:0:e884f400:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.1,,,,ok,False,0.05,ok,False,0.05,ok,False,0.0,ok,False,0.01,,,,ok,False,0.12,ok,False,0.01,ok,False,0.05
omission:anthropic:1d83fe02:0:e884f400:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.15,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:0:e884f400:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:1d83fe02:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:1:2aa19c76:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.03
omission:anthropic:1d83fe02:1:2aa19c76:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.06,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:1:2aa19c76:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.05,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:1:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:1d83fe02:1:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:1:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:2:38245176:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:1d83fe02:2:38245176:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.03
omission:anthropic:1d83fe02:2:38245176:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:2:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:1d83fe02:2:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:1d83fe02:2:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:3:83c2dd15:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.05
