item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
extra:bnd_n1,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.05
extra:bnd_n2,,ok,False,0.05,ok,False,0.04,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.05
extra:bnd_n3,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.05
extra:bnd_p1,,ok,False,0.05,ok,False,0.03,ok,False,0.05,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.98,ok,False,0.01,ok,False,0.04
extra:bnd_p2,,ok,False,0.05,ok,False,0.15,ok,False,0.05,ok,False,0.1,,,,ok,False,0.0,ok,False,0.05,ok,False,0.05,ok,False,0.03,ok,False,0.01,ok,False,0.14
extra:bnd_p3,,ok,False,0.05,ok,False,0.08,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.09
extra:fr_n1,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.04
extra:fr_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:fr_n3,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:fr_p1,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.04
extra:fr_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra:fr_p3,,ok,False,0.05,ok,False,0.06,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.02,ok,False,0.05
